Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
90meter,Smart Card Manager (Middleware),1.2.27,Information Assurance (IA),Middleware to enable reading of SIPR Tokens,G,3542,2843939,07-2843939-G1.2.27C,,1,1,,1,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActivIDentity GOTS (AGM),ActivClient CAC (Middleware),7.3.0.25,Information Assurance (IA),Middleware to enable reading of CACs,G,1966,2817065,07-2817065-G7.3.0.25C,,1,1,1,1,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
ActiveState,ActivePerl,5.14.4,,Scripting language to interact with ESXi host through Perl API and used by NMS Credential Scripts,G,3811,2849887,07-2849887-G5.14.4C,,1,1,1,,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Adobe,Adobe Reader DC,2022.002.20191,,PDF editor and browser connected to Adobe Document Cloud,F,3752,2847099,,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Antlr.org,ANTLR,3.4.1,,Parser generator included in MS RPS Sw Bundle,F,3740,2846902,07-2846902-F3.4.1ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Antlr.org,ANTLR,3.5,,Parser generator included in MS RPS Sw Bundle,F,3740,2846902,07-2846902-F3.5ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Apache,Ant,1.9.5,,Build Tool,F,3765,2847132,07-2847132-F1.9.5ELS,,,,1,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,Apache POI ,3.12,,Framework for reading and writing files in Microsoft Excel format used by WAN_Planning NMS Bundle,F,3793,2849395,07-2849395-F3.12ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,Apache POI OOXML Schemas,1.1,,Schemas to work with Apache POI tool used by WAN Planning NMS Bundle and WINT_NetDefGenerator tool,F,3799,2849869,07-2849869-F1.1ELS,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
