Version,Date,Init,Description
1.1,6/8/2010,,
1.2,8/31/2010,,
1.3,8/31/2010,sgl,
1.4,9/2/2010,sgl,Changed GoBook Col Text to GD8000
1.5,9/2/2010,sgl,"* Changed SAVD and NAVD to SAVG and NAVG to match latest naming convention 
* Added missing open source software Zebra to TCN
* Added missing open source Jabber MomentIM Client Package to all Windows Laptops and MDA workstations across all platforms
* Corrected NOSC-B Symantec Ghost software count, it didn't include SKMA and SCDD
* Removed entries for serial and usb drivers
* Updated Adobe Reader to version 9.3.3
* Corrected DMD-PS in TCN, NOSC-D, NOSC-B"
1.6,9/2/2010,sgl,"*Updated NOSC-B *DSC count from 1 to 3 each
*Corrected Desktop Validator Enterprise counts for TCN (qty3), POP/SNE (qty2)"
1.7,9/7/2010,sgl,Updated OE Tabs Systinet software from version 6.6 to 6.64
1.8,9/9/2010,sgl,Updated TRT sheet to include Symantec AV 10
1.9,9/13/2010,sgl,"* Changed Java JRE version from 1.6.0_x to 1.6.0_21 for all CIs with the exeception of OE that will remain at 1.6.0_17
* Removed line items from TRT that were already part of the OE ie) JBoss, Ant, Axis2, dom4j, Hibernate, JAXB, Sandesha2
* Consolidated two line entries on TCN for PHSS to a single entry called ""PHSS Package""
* Removed OE Application Package from TRT, not used
* Updated Windows Vista version from 8.6 to 9.0 for, SNE, TCN, RegHub
* Removed MS Office Counts from TCN under NDSC, XDSC, SDSC
* Set McAfee Linux AntiVirus count of 1 on TCN for NFSC, XFSC, SFSC, and 3 each for RegHub
* Updated GPS Configuration Utility version to 1.0.1
* Removed JDIC from TRT sheet, not used
* Changed Microsoft Office from v11.0 to v12.0
* Updated the count on TCN for Symantec Ghost, Ghost is on all systems with a hardrive
* Corrected spelling of DMD-PS on NOSC-B sheet
* Corrected count on RegHub for ""SNDM"" laptop having Tier3 Dwnld Util 0 to 3
* Removed 2 Solarwinds zero entry line items from JGN, (only the “Solarwinds Engineers Edition” is used - per Li-Jen)
* Removed SNMPc zero entry line item from SNE
* Corrected count for AGM Win 2008, virt sys count NDSC, XDSC, SDSC, were bumped 3x, orig qty 1
* Bumped Windows Vista count on NOSC-B for SSPM and SKMC to qty 1 from zero"
1.10,9/13/2010,sgl,"* Added missing line item SecNet54 Device Mgt Utility to RegHub spreadsheet, set SNDM qty 3
* Added missing items to STT and TRT spreadsheet :  McAfee Client Agent (Linux), McAfee  Host Intrusion Prevention (Linux)
* Added missing items to STT and TRT spreadsheet :  McAfee Client Agent (Windows), McAfee  Host Intrusion Prevention (Windows) 
* Added missing NFSC and SFSC columns to JGN for the NFS File Server
* Changed name back for Validation Authority (OCSP Responder) from Validation Authority Server (OCSP Responder), NOSC, POP"
